sampler,model,test_auc,test_f1,test_recall,test_precision,test_accuracy
NoSampling,Logistic Regression,0.7121459157971239,0.4447548223925107,0.6853187529083294,0.32919810002794075,0.632275
NoSampling,Random Forest,0.7122355142744411,0.44160101998998225,0.5640995812005584,0.3628133183688739,0.693425
NoSampling,XGBoost,0.7197715215490654,0.4533208387021202,0.6753140995812006,0.341169556273876,0.649975
NoSampling,ANN,0.7170049745436156,0.4491596807187838,0.6513494648673802,0.34276094276094277,0.656675
NoSampling,Ensemble,0.718618402815254,0.4507158137238769,0.6372731503024662,0.3486507128309572,0.6662
SMOTE,Logistic Regression,0.7118946125721388,0.44436061863447757,0.685202419730107,0.3287931226973317,0.63175
SMOTE,Random Forest,0.7123363704427726,0.4414888788016341,0.5657282456956724,0.3619919606967396,0.6924
SMOTE,XGBoost,0.720120352533242,0.453642118759516,0.6585621219171708,0.34598459845984597,0.6591
SMOTE,ANN,0.7141317943480716,0.44620228256591893,0.6594927873429502,0.33715950993219934,0.6482
SMOTE,Ensemble,0.7180088464484433,0.4501403334984316,0.6343648208469055,0.34883572159672466,0.66695
ENN,Logistic Regression,0.7116421943208309,0.44437342423919607,0.7278966961377384,0.3198057756197291,0.608825
ENN,Random Forest,0.7140571227762966,0.44708224843008115,0.6791530944625407,0.33321917808219176,0.639
ENN,XGBoost,0.7189208805622921,0.44991884580703334,0.7255700325732899,0.32604945370902816,0.618725
ENN,ANN,0.714137519508145,0.447731299591711,0.6761284318287576,0.3346769549694806,0.64155
ENN,Ensemble,0.7169393065315679,0.4483191725157,0.7059097254536993,0.3284616217386597,0.62665
SMOTEENN,Logistic Regression,0.7114619712456272,0.44448383437322747,0.7292926942764076,0.31965123393840505,0.60825
SMOTEENN,Random Forest,0.7136687379929075,0.44656285605772883,0.6839227547696604,0.33151009360550354,0.6357
SMOTEENN,XGBoost,0.7193373595637311,0.45132581974687236,0.7197533736621684,0.3287285478986239,0.623925
SMOTEENN,ANN,0.7166827912067942,0.4462069937958263,0.7362726849697534,0.3200991300829456,0.60725
SMOTEENN,Ensemble,0.7174011015363565,0.4492307692307692,0.7133550488599348,0.3278443113772455,0.6241
